metric,value
anomalies_found_h24,0.0
anomalies_missed_h24,354.0
anomaly_detection_rate_h24,0.0
total_anomalies_h24,354.0
false_positives_h24,0.0
total_samples_h24,356.0
precision_h24,0.0
f1_h24,0.0
anomalies_found_h48,0.0
anomalies_missed_h48,354.0
anomaly_detection_rate_h48,0.0
total_anomalies_h48,354.0
false_positives_h48,0.0
total_samples_h48,356.0
precision_h48,0.0
f1_h48,0.0
anomalies_found_h168,0.0
anomalies_missed_h168,356.0
anomaly_detection_rate_h168,0.0
total_anomalies_h168,356.0
false_positives_h168,0.0
total_samples_h168,356.0
precision_h168,0.0
f1_h168,0.0
anomalies_found_h336,0.0
anomalies_missed_h336,356.0
anomaly_detection_rate_h336,0.0
total_anomalies_h336,356.0
false_positives_h336,0.0
total_samples_h336,356.0
precision_h336,0.0
f1_h336,0.0
